TABLE_SCHEMA,TABLE_NAME,Enabled,Table_Category,TableKnownName,ServerSideUIOptions,AdminAppUIOptions,ClientAppUIOptions,UniqueConstraint,EnumDefinition,NameDefinition,AbstractTable,EnableValidation,BaseTables,UIPrimaryRouteId,ParentsDefinition,BaseQuerySetting,ClientListSetting,MultiLevelChooseSetting,CustomizableIdentifierSetting,CacheInClientApp,EntityReferenceUsageSetting,ListInWizardOptions,DefaultForeignKeyPropertyUIEditor,DefaultForeignKeyPropertyUIDisplay,SubscriberDefinitions
dbo,BuildVersion,True,CrossReferenceTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
dbo,ErrorLog,True,DetailsTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,Address,True,DetailsTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,Customer,True,DetailsTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,CustomerAddress,True,CrossReferenceTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,Product,True,DetailsTable,Unknown,Default,Default,Default,,,Name,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,ProductCategory,True,DetailsTable,Unknown,Default,Default,Default,,,Name,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,ProductDescription,True,DetailsTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,ProductModel,True,DetailsTable,Unknown,Default,Default,Default,,,Name,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,ProductModelProductDescription,True,CrossReferenceTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,SalesOrderDetail,True,CrossReferenceTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
SalesLT,SalesOrderHeader,True,DetailsTable,Unknown,Default,Default,Default,,,,False,False,,,,,,,,False,,GotoListPageButton,Default,Default,
