TABLE_SCHEMA,TABLE_NAME,EntityReferenceSimpleFullPath,LinqQueryPath,Result,IsTop,PKTypeFullName,PKPropertyName,FKTypeFullName,FKPropertyName,FKName,FKAlias,PropertyName_Origin_InThisType,ChildEntityReferenceSimpleFullPath,BottomChildTypeName,BottomChildEntityReferenceSimpleFullPath,DefaultOrder,FKTypeFullNameOnTheOtherSide
SalesLT,CustomerAddress,\AddressID,Address,Address,True,AdventureWorksLT2019Model.Address,AddressID,AdventureWorksLT2019Model.CustomerAddress,AddressID,FK_CustomerAddress_Address_AddressID,t,AddressID,,Address,\AddressID,1,
SalesLT,CustomerAddress,\CustomerID,Customer,Customer,True,AdventureWorksLT2019Model.Customer,CustomerID,AdventureWorksLT2019Model.CustomerAddress,CustomerID,FK_CustomerAddress_Customer_CustomerID,t,CustomerID,,Customer,\CustomerID,1,
SalesLT,Product,\ProductCategoryID,ProductCategory,ProductCategory,False,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.Product,ProductCategoryID,FK_Product_ProductCategory_ProductCategoryID,t,ProductCategoryID,,ProductCategory,\ProductCategoryID,1,
SalesLT,Product,\ProductCategoryID\ParentProductCategoryID,ProductCategory.ProductCategory2,Parent,True,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.ProductCategory,ParentProductCategoryID,FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,ProductCategory,ProductCategoryID,\ProductCategoryID,ProductCategory,\ProductCategoryID,2,
SalesLT,Product,\ProductModelID,ProductModel,ProductModel,True,AdventureWorksLT2019Model.ProductModel,ProductModelID,AdventureWorksLT2019Model.Product,ProductModelID,FK_Product_ProductModel_ProductModelID,t,ProductModelID,,ProductModel,\ProductModelID,1,
SalesLT,ProductCategory,\ParentProductCategoryID,ProductCategory2,Parent,True,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.ProductCategory,ParentProductCategoryID,FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,t,ParentProductCategoryID,,ProductCategory,\ParentProductCategoryID,1,
SalesLT,ProductModelProductDescription,\ProductDescriptionID,ProductDescription,ProductDescription,True,AdventureWorksLT2019Model.ProductDescription,ProductDescriptionID,AdventureWorksLT2019Model.ProductModelProductDescription,ProductDescriptionID,FK_ProductModelProductDescription_ProductDescription_ProductDescriptionID,t,ProductDescriptionID,,ProductDescription,\ProductDescriptionID,1,
SalesLT,ProductModelProductDescription,\ProductModelID,ProductModel,ProductModel,True,AdventureWorksLT2019Model.ProductModel,ProductModelID,AdventureWorksLT2019Model.ProductModelProductDescription,ProductModelID,FK_ProductModelProductDescription_ProductModel_ProductModelID,t,ProductModelID,,ProductModel,\ProductModelID,1,
SalesLT,SalesOrderDetail,\ProductID,Product,Product,False,AdventureWorksLT2019Model.Product,ProductID,AdventureWorksLT2019Model.SalesOrderDetail,ProductID,FK_SalesOrderDetail_Product_ProductID,t,ProductID,,Product,\ProductID,1,
SalesLT,SalesOrderDetail,\ProductID\ProductCategoryID,Product.ProductCategory,ProductCategory,False,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.Product,ProductCategoryID,FK_Product_ProductCategory_ProductCategoryID,Product,ProductID,\ProductID,Product,\ProductID,2,
