TABLE_SCHEMA,TABLE_NAME,EntityReferenceSimpleFullPath,Result,IsTop,PKTypeFullName,PKPropertyName,FKTypeFullName,FKPropertyName,FKName,FKAlias,PropertyName_Origin_InThisType,ChildEntityReferenceSimpleFullPath,BottomChildTypeName,BottomChildEntityReferenceSimpleFullPath,EntityReferenceFullPath,EntityReferenceForeignKeyPath,EntityReferenceResultType,IsJoinFromPKToFK,DefaultOrder,FKTypeFullNameOnTheOtherSide,CreatedDate
SalesLT,CustomerAddress,\AddressID,Address,True,AdventureWorksLT2019Model.Address,AddressID,AdventureWorksLT2019Model.CustomerAddress,AddressID,FK_CustomerAddress_Address_AddressID,t,AddressID,,Address,\AddressID,\AdventureWorksLT2019Model.CustomerAddress.AddressID,\FK_CustomerAddress_Address_AddressID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,CustomerAddress,\CustomerID,Customer,True,AdventureWorksLT2019Model.Customer,CustomerID,AdventureWorksLT2019Model.CustomerAddress,CustomerID,FK_CustomerAddress_Customer_CustomerID,t,CustomerID,,Customer,\CustomerID,\AdventureWorksLT2019Model.CustomerAddress.CustomerID,\FK_CustomerAddress_Customer_CustomerID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,Product,\ProductCategoryID,ProductCategory,False,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.Product,ProductCategoryID,FK_Product_ProductCategory_ProductCategoryID,t,ProductCategoryID,,ProductCategory,\ProductCategoryID,\AdventureWorksLT2019Model.Product.ProductCategoryID,\FK_Product_ProductCategory_ProductCategoryID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,Product,\ProductCategoryID\ParentProductCategoryID,Parent,True,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.ProductCategory,ParentProductCategoryID,FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,ProductCategory,ProductCategoryID,\ProductCategoryID,ProductCategory,\ProductCategoryID,\AdventureWorksLT2019Model.Product.ProductCategoryID\AdventureWorksLT2019Model.ProductCategory.ParentProductCategoryID,\FK_Product_ProductCategory_ProductCategoryID\FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,DownTree,False,2,,1/1/0001 12:00:00 AM
SalesLT,Product,\ProductModelID,ProductModel,True,AdventureWorksLT2019Model.ProductModel,ProductModelID,AdventureWorksLT2019Model.Product,ProductModelID,FK_Product_ProductModel_ProductModelID,t,ProductModelID,,ProductModel,\ProductModelID,\AdventureWorksLT2019Model.Product.ProductModelID,\FK_Product_ProductModel_ProductModelID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,ProductCategory,\ParentProductCategoryID,Parent,True,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.ProductCategory,ParentProductCategoryID,FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,t,ParentProductCategoryID,,ProductCategory,\ParentProductCategoryID,\AdventureWorksLT2019Model.ProductCategory.ParentProductCategoryID,\FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,ProductModelProductDescription,\ProductDescriptionID,ProductDescription,True,AdventureWorksLT2019Model.ProductDescription,ProductDescriptionID,AdventureWorksLT2019Model.ProductModelProductDescription,ProductDescriptionID,FK_ProductModelProductDescription_ProductDescription_ProductDescriptionID,t,ProductDescriptionID,,ProductDescription,\ProductDescriptionID,\AdventureWorksLT2019Model.ProductModelProductDescription.ProductDescriptionID,\FK_ProductModelProductDescription_ProductDescription_ProductDescriptionID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,ProductModelProductDescription,\ProductModelID,ProductModel,True,AdventureWorksLT2019Model.ProductModel,ProductModelID,AdventureWorksLT2019Model.ProductModelProductDescription,ProductModelID,FK_ProductModelProductDescription_ProductModel_ProductModelID,t,ProductModelID,,ProductModel,\ProductModelID,\AdventureWorksLT2019Model.ProductModelProductDescription.ProductModelID,\FK_ProductModelProductDescription_ProductModel_ProductModelID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\ProductID,Product,False,AdventureWorksLT2019Model.Product,ProductID,AdventureWorksLT2019Model.SalesOrderDetail,ProductID,FK_SalesOrderDetail_Product_ProductID,t,ProductID,,Product,\ProductID,\AdventureWorksLT2019Model.SalesOrderDetail.ProductID,\FK_SalesOrderDetail_Product_ProductID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\ProductID\ProductCategoryID,ProductCategory,False,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.Product,ProductCategoryID,FK_Product_ProductCategory_ProductCategoryID,Product,ProductID,\ProductID,Product,\ProductID,\AdventureWorksLT2019Model.SalesOrderDetail.ProductID\AdventureWorksLT2019Model.Product.ProductCategoryID,\FK_SalesOrderDetail_Product_ProductID\FK_Product_ProductCategory_ProductCategoryID,DownTree,False,2,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\ProductID\ProductCategoryID\ParentProductCategoryID,ProductCategory_Parent,True,AdventureWorksLT2019Model.ProductCategory,ProductCategoryID,AdventureWorksLT2019Model.ProductCategory,ParentProductCategoryID,FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,ProductCategory,ProductID,\ProductID\ProductCategoryID,Product,\ProductID,\AdventureWorksLT2019Model.SalesOrderDetail.ProductID\AdventureWorksLT2019Model.Product.ProductCategoryID\AdventureWorksLT2019Model.ProductCategory.ParentProductCategoryID,\FK_SalesOrderDetail_Product_ProductID\FK_Product_ProductCategory_ProductCategoryID\FK_ProductCategory_ProductCategory_ParentProductCategoryID_ProductCategoryID,DownTree,False,3,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\ProductID\ProductModelID,ProductModel,True,AdventureWorksLT2019Model.ProductModel,ProductModelID,AdventureWorksLT2019Model.Product,ProductModelID,FK_Product_ProductModel_ProductModelID,Product,ProductID,\ProductID,Product,\ProductID,\AdventureWorksLT2019Model.SalesOrderDetail.ProductID\AdventureWorksLT2019Model.Product.ProductModelID,\FK_SalesOrderDetail_Product_ProductID\FK_Product_ProductModel_ProductModelID,DownTree,False,3,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\SalesOrderID,SalesOrderHeader,False,AdventureWorksLT2019Model.SalesOrderHeader,SalesOrderID,AdventureWorksLT2019Model.SalesOrderDetail,SalesOrderID,FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID,t,SalesOrderID,,SalesOrderHeader,\SalesOrderID,\AdventureWorksLT2019Model.SalesOrderDetail.SalesOrderID,\FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID,DownTree,False,1,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\SalesOrderID\BillToAddressID,BillTo,True,AdventureWorksLT2019Model.Address,AddressID,AdventureWorksLT2019Model.SalesOrderHeader,BillToAddressID,FK_SalesOrderHeader_Address_BillTo_AddressID,SalesOrderHeader,SalesOrderID,\SalesOrderID,SalesOrderHeader,\SalesOrderID,\AdventureWorksLT2019Model.SalesOrderDetail.SalesOrderID\AdventureWorksLT2019Model.SalesOrderHeader.BillToAddressID,\FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID\FK_SalesOrderHeader_Address_BillTo_AddressID,DownTree,False,2,,1/1/0001 12:00:00 AM
SalesLT,SalesOrderDetail,\SalesOrderID\ShipToAddressID,ShipTo,True,AdventureWorksLT2019Model.Address,AddressID,AdventureWorksLT2019Model.SalesOrderHeader,ShipToAddressID,FK_SalesOrderHeader_Address_ShipTo_AddressID,SalesOrderHeader,SalesOrderID,\SalesOrderID,SalesOrderHeader,\SalesOrderID,\AdventureWorksLT2019Model.SalesOrderDetail.SalesOrderID\AdventureWorksLT2019Model.SalesOrderHeader.ShipToAddressID,\FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID\FK_SalesOrderHeader_Address_ShipTo_AddressID,DownTree,False,3,,1/1/0001 12:00:00 AM
