TypeDeclarationContextName,DataView,Name,Enabled,Expression,ProcessStatus,PropertyGroupKey,PropertyKnownName,DefaultOrder,PropertyType,DefaultValue,IsNullable,IsDbGenerated,PropertyCategory,EntityReferenceSimplePath,IsForeignKey,SourcePropertyName,ForeignKeyPropertyCategory,OnUIWhenDisplay,OnUIWhenEdit,OnUIWhenCreate,OnUIWhenSummary,QuickFilter
Customer,,CustomerID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
Customer,,CustomerID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
Customer,,NameStyle,True,,FromDefault,,Unknown,100,SystemBoolean,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,NameStyle,True,,FromDefault,,Unknown,100,SystemBoolean,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Title,True,,FromDefault,,Title,200,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Title,True,,FromDefault,,Title,200,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,FirstName,True,,FromDefault,,Unknown,300,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,FirstName,True,,FromDefault,,Unknown,300,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,MiddleName,True,,FromDefault,,Unknown,400,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,MiddleName,True,,FromDefault,,Unknown,400,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,rowguid,True,,FromDefault,,RowGuid,500,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
Customer,,LastName,True,,FromDefault,,Unknown,500,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,LastName,True,,FromDefault,,Unknown,500,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,ModifiedDate,True,,FromDefault,,Unknown,600,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Suffix,True,,FromDefault,,Unknown,600,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Suffix,True,,FromDefault,,Unknown,600,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,CompanyName,True,,FromDefault,,Unknown,700,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,CompanyName,True,,FromDefault,,Unknown,700,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,SalesPerson,True,,FromDefault,,Unknown,800,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,SalesPerson,True,,FromDefault,,Unknown,800,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,EmailAddress,True,,FromDefault,,Unknown,900,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,EmailAddress,True,,FromDefault,,Unknown,900,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Phone,True,,FromDefault,,Unknown,1000,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,Phone,True,,FromDefault,,Unknown,1000,SystemString,,True,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,PasswordHash,True,,FromDefault,,Unknown,1100,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,PasswordHash,True,,FromDefault,,Unknown,1100,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,PasswordSalt,True,,FromDefault,,Unknown,1200,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,PasswordSalt,True,,FromDefault,,Unknown,1200,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
Customer,,rowguid,True,,FromDefault,,RowGuid,1300,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
Customer,,ModifiedDate,True,,FromDefault,,Unknown,1400,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.Customer,NameValuePair,Value,True,(SystemString)Value=CustomerID.ToString(),FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20000,SystemString,"",False,False,Unknown,,False,CustomerID.ToString(),NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.Customer,NameValuePair,Name,True,(SystemString)Name=Title~Name,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20001,SystemString,"",False,False,Name,,False,Title,NotForeignKey,Display,Display,Display,Display,False
