TypeDeclarationContextName,DataView,Name,Enabled,Expression,ProcessStatus,PropertyGroupKey,PropertyKnownName,DefaultOrder,PropertyType,DefaultValue,IsNullable,IsDbGenerated,PropertyCategory,EntityReferenceSimplePath,IsForeignKey,SourcePropertyName,ForeignKeyPropertyCategory,OnUIWhenDisplay,OnUIWhenEdit,OnUIWhenCreate,OnUIWhenSummary,QuickFilter
ProductCategory,,ProductCategoryID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,0,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
ProductCategory,,ParentProductCategoryID,True,,FromDefault,,Unknown,100,SystemInt32,,True,False,Unknown,\ParentProductCategoryID,True,,Ancestor,Display,Editor,Editor,Display,False
ProductCategory,,Name,True,,FromDefault,,Name,200,SystemString,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
ProductCategory,,rowguid,True,,FromDefault,,RowGuid,300,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
ProductCategory,,ModifiedDate,True,,FromDefault,,Unknown,400,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,ProductCategoryID,True,(!SystemInt32)ProductCategoryID=ProductCategoryID~Identifier,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,0,SystemInt32,"",False,True,Identifier,,False,ProductCategoryID,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,ParentProductCategoryID,True,(SystemInt32?)ParentProductCategoryID=ParentProductCategoryID@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,100,SystemInt32,"",True,False,Unknown,\ParentProductCategoryID,True,ParentProductCategoryID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,Name,True,(SystemString)Name=Name,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Name,200,SystemString,"",False,False,Unknown,,False,Name,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,rowguid,True,(SystemGuid)rowguid=rowguid,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,RowGuid,300,SystemGuid,"",False,False,Unknown,,False,rowguid,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,ModifiedDate,True,(SystemDateTime)ModifiedDate=ModifiedDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,400,SystemDateTime,"",False,False,Unknown,,False,ModifiedDate,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultView,Parent_Name,True,(SystemString?)Parent_Name=\ParentProductCategoryID:Name~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20002,SystemString,"",True,False,Name,\ParentProductCategoryID,True,\ParentProductCategoryID:Name,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,ProductCategoryID,True,(SystemInt32)ProductCategoryID=ProductCategoryID~Identifier,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,0,SystemInt32,"",False,False,Identifier,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,ParentProductCategoryID,True,(SystemInt32?)ParentProductCategoryID=ParentProductCategoryID,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,100,SystemInt32,"",True,False,Unknown,\ParentProductCategoryID,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,Name,True,(SystemString)Name=Name,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,200,SystemString,"",False,False,Unknown,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,rowguid,True,(SystemGuid)rowguid=rowguid,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,300,SystemGuid,"",False,False,Unknown,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,ModifiedDate,True,(SystemDateTime)ModifiedDate=ModifiedDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,400,SystemDateTime,"",False,False,Unknown,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,DefaultWithPath,RecursivePath__,True,(SystemString)RecursivePath__=RecursivePath__,FromDefault,nTierCraft.CodeGen.Settings.DataViewDatabaseQueryResultColumnSetting,Unknown,20000,SystemString,"",False,False,Unknown,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,NameValuePair,Name,True,(SystemString)Name=Name~Name,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,1,SystemString,"",False,False,Name,,False,Name,NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.ProductCategory,NameValuePair,Value,True,(SystemString)Value=ProductCategoryID.ToString(),FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20001,SystemString,"",False,False,Unknown,,False,ProductCategoryID.ToString(),NotForeignKey,Display,Display,Display,Display,False
