TypeDeclarationContextName,DataView,Name,Enabled,Expression,ProcessStatus,PropertyGroupKey,PropertyKnownName,DefaultOrder,PropertyType,DefaultValue,IsNullable,IsDbGenerated,PropertyCategory,EntityReferenceSimplePath,IsForeignKey,SourcePropertyName,ForeignKeyPropertyCategory,OnUIWhenDisplay,OnUIWhenEdit,OnUIWhenCreate,OnUIWhenSummary,QuickFilter
SalesOrderDetail,,SalesOrderID,True,,FromDefault,,Unknown,0,SystemInt32,,False,False,Identifier,\SalesOrderID,True,,Ancestor,Display,Editor,Editor,Display,False
SalesOrderDetail,,SalesOrderDetailID,True,,FromDefault,,__AutoGeneratedNumericIdentity__,100,SystemInt32,,False,True,Identifier,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderDetail,,OrderQty,True,,FromDefault,,Unknown,200,SystemInt16,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderDetail,,ProductID,True,,FromDefault,,Unknown,300,SystemInt32,,False,False,Unknown,\ProductID,True,,Ancestor,Display,Editor,Editor,Display,False
SalesOrderDetail,,UnitPrice,True,,FromDefault,,Unknown,400,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderDetail,,UnitPriceDiscount,True,,FromDefault,,Unknown,500,SystemDecimal,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
SalesOrderDetail,,LineTotal,True,,FromDefault,,Unknown,600,SystemDecimal,,False,True,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderDetail,,rowguid,True,,FromDefault,,RowGuid,700,SystemGuid,,False,False,Unknown,,False,,NotForeignKey,Display,Display,None,Display,False
SalesOrderDetail,,ModifiedDate,True,,FromDefault,,Unknown,800,SystemDateTime,,False,False,Unknown,,False,,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,SalesOrderID,True,(SystemInt32)SalesOrderID=SalesOrderID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,0,SystemInt32,"",False,False,Identifier,\SalesOrderID,True,SalesOrderID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,SalesOrderDetailID,True,(!SystemInt32)SalesOrderDetailID=SalesOrderDetailID~Identifier,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,100,SystemInt32,"",False,True,Identifier,,False,SalesOrderDetailID,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,OrderQty,True,(SystemInt16)OrderQty=OrderQty,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,200,SystemInt16,"",False,False,Unknown,,False,OrderQty,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductID,True,(SystemInt32)ProductID=ProductID@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,300,SystemInt32,"",False,False,Unknown,\ProductID,True,ProductID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,UnitPrice,True,(SystemDecimal)UnitPrice=UnitPrice,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,400,SystemDecimal,"",False,False,Unknown,,False,UnitPrice,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,UnitPriceDiscount,True,(SystemDecimal)UnitPriceDiscount=UnitPriceDiscount,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,500,SystemDecimal,"",False,False,Unknown,,False,UnitPriceDiscount,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,LineTotal,True,(!SystemDecimal)LineTotal=LineTotal,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,600,SystemDecimal,"",False,True,Unknown,,False,LineTotal,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,rowguid,True,(SystemGuid)rowguid=rowguid,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,RowGuid,700,SystemGuid,"",False,False,Unknown,,False,rowguid,NotForeignKey,Display,Display,None,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ModifiedDate,True,(SystemDateTime)ModifiedDate=ModifiedDate,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,800,SystemDateTime,"",False,False,Unknown,,False,ModifiedDate,NotForeignKey,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,Product_Name,True,(SystemString?)Product_Name=\ProductID:Name~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20002,SystemString,"",True,False,Name,\ProductID,True,\ProductID:Name,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductCategoryID,False,(SystemInt32)ProductCategoryID=\ProductID\ProductCategoryID:ProductCategoryID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20003,SystemInt32,"",False,False,Identifier,\ProductID\ProductCategoryID,True,\ProductID\ProductCategoryID:ProductCategoryID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductCategory_Name,False,(SystemString?)ProductCategory_Name=\ProductID\ProductCategoryID:Name~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20004,SystemString,"",True,False,Name,\ProductID\ProductCategoryID,True,\ProductID\ProductCategoryID:Name,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductCategory_ParentID,False,(SystemInt32)ProductCategory_ParentID=\ProductID\ProductCategoryID\ParentProductCategoryID:ProductCategoryID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20005,SystemInt32,"",False,False,Identifier,\ProductID\ProductCategoryID\ParentProductCategoryID,True,\ProductID\ProductCategoryID\ParentProductCategoryID:ProductCategoryID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductCategory_Parent_Name,False,(SystemString?)ProductCategory_Parent_Name=\ProductID\ProductCategoryID\ParentProductCategoryID:Name~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20006,SystemString,"",True,False,Name,\ProductID\ProductCategoryID\ParentProductCategoryID,True,\ProductID\ProductCategoryID\ParentProductCategoryID:Name,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductModelID,False,(SystemInt32)ProductModelID=\ProductID\ProductModelID:ProductModelID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20007,SystemInt32,"",False,False,Identifier,\ProductID\ProductModelID,True,\ProductID\ProductModelID:ProductModelID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ProductModel_Name,False,(SystemString?)ProductModel_Name=\ProductID\ProductModelID:Name~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20008,SystemString,"",True,False,Name,\ProductID\ProductModelID,True,\ProductID\ProductModelID:Name,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,SalesOrderHeader_Name,True,(SystemString?)SalesOrderHeader_Name=\SalesOrderID:SalesOrderNumber~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20009,SystemString,"",True,False,Name,\SalesOrderID,True,\SalesOrderID:SalesOrderNumber,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,BillToID,False,(SystemInt32)BillToID=\SalesOrderID\BillToAddressID:AddressID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20010,SystemInt32,"",False,False,Identifier,\SalesOrderID\BillToAddressID,True,\SalesOrderID\BillToAddressID:AddressID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,BillTo_Name,False,(SystemString?)BillTo_Name=\SalesOrderID\BillToAddressID:AddressLine1~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20011,SystemString,"",True,False,Name,\SalesOrderID\BillToAddressID,True,\SalesOrderID\BillToAddressID:AddressLine1,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,CustomerID,False,(SystemInt32)CustomerID=\SalesOrderID\CustomerID:CustomerID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20012,SystemInt32,"",False,False,Identifier,\SalesOrderID\CustomerID,True,\SalesOrderID\CustomerID:CustomerID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,Customer_Name,False,(SystemString?)Customer_Name=\SalesOrderID\CustomerID:Title~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20013,SystemString,"",True,False,Name,\SalesOrderID\CustomerID,True,\SalesOrderID\CustomerID:Title,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ShipToID,False,(SystemInt32)ShipToID=\SalesOrderID\ShipToAddressID:AddressID~Identifier@Ancestor,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,__AutoGeneratedNumericIdentity__,20014,SystemInt32,"",False,False,Identifier,\SalesOrderID\ShipToAddressID,True,\SalesOrderID\ShipToAddressID:AddressID,Ancestor,Display,Editor,Editor,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,DefaultView,ShipTo_Name,False,(SystemString?)ShipTo_Name=\SalesOrderID\ShipToAddressID:AddressLine1~Name@AncestorName,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20015,SystemString,"",True,False,Name,\SalesOrderID\ShipToAddressID,True,\SalesOrderID\ShipToAddressID:AddressLine1,AncestorName,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,NameValuePair,Value,True,"(SystemString)Value=#StringConcat[SalesOrderID.ToString(),$""|"",SalesOrderDetailID.ToString()]~Identifier",FromDefault,nTierCraft.CodeGen.Settings.DataViewCalculatedColumnWithValueTypeInputSetting,Unknown,20000,SystemString,"",True,False,Identifier,,False,"",NotForeignKey,Display,Display,Display,Display,False
AdventureWorksLT2019Model.SalesOrderDetail,NameValuePair,Name,True,(SystemString)Name=SalesOrderID.ToString()~Name,FromDefault,nTierCraft.CodeGen.Settings.DataViewProjectionColumnSetting,Unknown,20001,SystemString,"",False,False,Name,,False,SalesOrderID.ToString(),NotForeignKey,Display,Display,Display,Display,False
