TypeDeclarationContextName,Query,QueryUnitGroup,QueryPropertyName,Enabled,QueryUnitSettingType,TargetTypeDeclarationFullName,TargetEntityKey,TargetPropertyName,TargetPropertyType,FKPropertyName,EntityReferenceSimpleFullPath,PredicateKnownType,OtherTargetPropertyNames
AdventureWorksLT2019Model.Customer,AdvancedQuery,BooleanRange,NameStyle,True,Range,AdventureWorksLT2019Model.Customer,t,NameStyle,SystemBoolean,,,Equals,
AdventureWorksLT2019Model.Customer,AdvancedQuery,DateTimeRange,ModifiedDateRange,True,Range,AdventureWorksLT2019Model.Customer,t,ModifiedDate,SystemDateTime,,,Range,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,Title,True,StringQuery,AdventureWorksLT2019Model.Customer,t,Title,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,FirstName,True,StringQuery,AdventureWorksLT2019Model.Customer,t,FirstName,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,MiddleName,True,StringQuery,AdventureWorksLT2019Model.Customer,t,MiddleName,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,LastName,True,StringQuery,AdventureWorksLT2019Model.Customer,t,LastName,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,Suffix,True,StringQuery,AdventureWorksLT2019Model.Customer,t,Suffix,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,CompanyName,True,StringQuery,AdventureWorksLT2019Model.Customer,t,CompanyName,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,SalesPerson,True,StringQuery,AdventureWorksLT2019Model.Customer,t,SalesPerson,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,EmailAddress,True,StringQuery,AdventureWorksLT2019Model.Customer,t,EmailAddress,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,Phone,True,StringQuery,AdventureWorksLT2019Model.Customer,t,Phone,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,PasswordHash,True,StringQuery,AdventureWorksLT2019Model.Customer,t,PasswordHash,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,AdvancedQuery,StringQuery,PasswordSalt,True,StringQuery,AdventureWorksLT2019Model.Customer,t,PasswordSalt,SystemString,,,Contains,
AdventureWorksLT2019Model.Customer,Identifier,Identifier,CustomerID,True,Identifier,AdventureWorksLT2019Model.Customer,t,CustomerID,SystemInt32,,,Equals,
