TypeDeclarationContextName,Query,QueryUnitGroup,QueryPropertyName,Enabled,ProcessStatus,QueryUnitSettingType,TargetTypeDeclarationFullName,TargetEntityKey,TargetPropertyName,TargetPropertyType,FKPropertyName,EntityReferenceSimpleFullPath,TargetPropertyFullPath,PredicateKnownType
AdventureWorksLT2019Model.Product,AdvancedQuery,DateTimeRange,SellStartDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.Product,t,SellStartDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.Product,AdvancedQuery,DateTimeRange,SellEndDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.Product,t,SellEndDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.Product,AdvancedQuery,DateTimeRange,DiscontinuedDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.Product,t,DiscontinuedDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.Product,AdvancedQuery,DateTimeRange,ModifiedDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.Product,t,ModifiedDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.Product,AdvancedQuery,EntityReference,ProductCategoryID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductCategory,ProductCategory,ProductCategoryID,SystemInt32,ProductCategoryID,\ProductCategoryID,,Equals
AdventureWorksLT2019Model.Product,AdvancedQuery,EntityReference,ParentID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductCategory,Parent,ProductCategoryID,SystemInt32,ParentProductCategoryID,\ProductCategoryID\ParentProductCategoryID,,Equals
AdventureWorksLT2019Model.Product,AdvancedQuery,EntityReference,ProductModelID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductModel,ProductModel,ProductModelID,SystemInt32,ProductModelID,\ProductModelID,,Equals
AdventureWorksLT2019Model.Product,AdvancedQuery,StringQuery,Name,True,FromDefault,StringQuery,AdventureWorksLT2019Model.Product,t,Name,SystemString,,,,Contains
AdventureWorksLT2019Model.Product,AdvancedQuery,StringQuery,ProductNumber,True,FromDefault,StringQuery,AdventureWorksLT2019Model.Product,t,ProductNumber,SystemString,,,,Contains
AdventureWorksLT2019Model.Product,AdvancedQuery,StringQuery,Color,True,FromDefault,StringQuery,AdventureWorksLT2019Model.Product,t,Color,SystemString,,,,Contains
AdventureWorksLT2019Model.Product,AdvancedQuery,StringQuery,Size,True,FromDefault,StringQuery,AdventureWorksLT2019Model.Product,t,Size,SystemString,,,,Contains
AdventureWorksLT2019Model.Product,AdvancedQuery,StringQuery,ThumbnailPhotoFileName,True,FromDefault,StringQuery,AdventureWorksLT2019Model.Product,t,ThumbnailPhotoFileName,SystemString,,,,Contains
AdventureWorksLT2019Model.Product,Identifier,Identifier,ProductID,True,FromDefault,Identifier,AdventureWorksLT2019Model.Product,t,ProductID,SystemInt32,,,,Equals
