TypeDeclarationContextName,Query,QueryUnitGroup,QueryPropertyName,Enabled,ProcessStatus,QueryUnitSettingType,TargetTypeDeclarationFullName,TargetEntityKey,TargetPropertyName,TargetPropertyType,FKPropertyName,EntityReferenceSimpleFullPath,TargetPropertyFullPath,PredicateKnownType
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,DateTimeRange,ModifiedDateRange,True,FromDefault,Range,AdventureWorksLT2019Model.SalesOrderDetail,t,ModifiedDate,SystemDateTime,,,,Range
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,ProductID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Product,Product,ProductID,SystemInt32,ProductID,\ProductID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,ProductCategoryID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductCategory,ProductCategory,ProductCategoryID,SystemInt32,ProductCategoryID,\ProductID\ProductCategoryID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,ProductCategory_ParentID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductCategory,ProductCategory_Parent,ProductCategoryID,SystemInt32,ParentProductCategoryID,\ProductID\ProductCategoryID\ParentProductCategoryID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,ProductModelID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.ProductModel,ProductModel,ProductModelID,SystemInt32,ProductModelID,\ProductID\ProductModelID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,SalesOrderID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.SalesOrderHeader,SalesOrderHeader,SalesOrderID,SystemInt32,SalesOrderID,\SalesOrderID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,BillToID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Address,BillTo,AddressID,SystemInt32,BillToAddressID,\SalesOrderID\BillToAddressID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,ShipToID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Address,ShipTo,AddressID,SystemInt32,ShipToAddressID,\SalesOrderID\ShipToAddressID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,AdvancedQuery,EntityReference,CustomerID,True,FromDefault,EntityReference,AdventureWorksLT2019Model.Customer,Customer,CustomerID,SystemInt32,CustomerID,\SalesOrderID\CustomerID,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,Identifier,Identifier,SalesOrderID,True,FromDefault,Identifier,AdventureWorksLT2019Model.SalesOrderDetail,t,SalesOrderID,SystemInt32,,,,Equals
AdventureWorksLT2019Model.SalesOrderDetail,Identifier,Identifier,SalesOrderDetailID,True,FromDefault,Identifier,AdventureWorksLT2019Model.SalesOrderDetail,t,SalesOrderDetailID,SystemInt32,,,,Equals
